Bus,busmap
1838,FRJ1
1839,FRJ2
1840,FRJ2
1841,FRI3
1842,FRI3
1843,FRJ2
1844,FRJ1
1845,FRL0
1846,FRJ2
1847,FRJ2
1848,FRI1
1849,FRI1
1850,FRI1
1851,FRI1
1852,FRI1
1853,FRI1
1854,FRI1
1855,FRI1
1856,FRI1
1857,FRL0
1858,FRD1
1859,FRG0
1860,FRG0
1861,FRG0
1862,FRG0
1863,FRI2
1864,FRJ2
1865,FRI1
1866,FRJ2
1867,FRJ1
1868,FRJ1
1869,FRJ1
1870,FRG0
1871,FRJ2
1872,FRC1
1873,FRC1
1874,FRL0
1875,FRL0
1876,FRL0
1877,FRJ2
1878,FRI3
1879,FRH0
1880,FRJ2
1881,FR10
1882,FR10
1883,FRB0
1884,FRB0
1885,FRB0
1886,FRF1
1887,FRC1
1888,FRE1
1889,FRE1
1890,FRE2
1891,FRE2
1892,FRF1
1893,FRF1
1894,FRF1
1895,FRF1
1896,FRF1
1897,FRK2
1898,FRK2
1899,FRK2
1900,FRK2
1901,FRK2
1902,FRG0
1903,FRL0
1904,FRE2
1905,FR10
1906,FR10
1907,FRF2
1908,FRF2
1909,FRJ2
1910,FRJ2
1911,FRF2
1912,FRF2
1913,FRF2
1914,FRK1
1915,FRD2
1916,FRJ2
1917,FRC2
1918,FRC2
1919,FRF2
1920,FRF2
1921,FRF2
1922,FRF2
1923,FRF3
1924,FRF3
1925,FRF3
1926,FRF3
1927,FRJ2
1928,FRJ2
1929,FRF3
1930,FRJ1
1931,FRJ1
1932,FRF3
1933,FRF3
1934,FRF1
1935,FRK1
1936,FRL0
1937,FRL0
1938,FRL0
1939,FRL0
1940,FRL0
1941,FRC1
1942,FRC1
1943,FRC1
1944,FRC2
1945,FRC2
1946,FRC1
1947,FRC1
1948,FRC1
1949,FRK2
1950,FRK2
1951,FRK2
1952,FRK2
1953,FRH0
1954,FRC1
1955,FRC2
1956,FRF3
1957,FRI1
1958,FRK1
1959,FRK1
1960,FRH0
1961,FRF1
1962,FRK2
1963,FRC1
1964,FRC1
1965,FRI1
1966,FRF1
1967,FRK2
1968,FRF3
1969,FRF3
1970,FRE1
1971,FRE1
1972,FRE1
1973,FRE1
1974,FRE1
1975,FRF2
1976,FRJ1
1977,FRJ1
1978,FRC1
1979,FRC1
1980,FRF1
1981,FRK2
1982,FRJ1
1983,FRK2
1984,FRJ1
1985,FRK1
1986,FRK2
1987,FRL0
1988,FRK2
1989,FRE1
1990,FRK2
1991,FRK2
1992,FRK2
1993,FRK2
1994,FRF3
1995,FRF3
1996,FRE1
1997,FRK2
1998,FRK2
1999,FRI1
2000,FRL0
2001,FRJ1
2002,FRK2
2003,FRI1
2004,FRK2
2005,FRK1
2006,FRK1
2007,FRF1
2008,FRK1
2009,FRK1
2010,FRF3
2011,FRJ1
2012,FRK1
2014,FRK1
2015,FRK1
2016,FRK1
2017,FR10
2018,FRI2
2019,FRI2
2020,FRD2
2021,FRI2
2022,FRF3
2023,FRF3
2024,FRI2
2025,FRB0
2026,FRI2
2027,FRJ2
2028,FRL0
2029,FRI2
2030,FRF1
2031,FRI3
2032,FRI3
2033,FRI1
2034,FRH0
2035,FRC1
2036,FRC1
2037,FRG0
2038,FRI1
2039,FRG0
2040,FRK2
2041,FRE2
2042,FRD1
2043,FRH0
2044,FRG0
2045,FRH0
2046,FRI3
2047,FRF1
2048,FRI1
2049,FRG0
2050,FRF1
2051,FRF1
2052,FRI1
